Time (s), X Position (pixels), Y Position (pixels)
0.0,236.118948134,174.441845962
0.0333333333333,236.244493666,174.897511799
0.0666666666667,234.728471716,174.435107824
0.1,236.497914257,175.082975384
0.133333333333,236.602408887,174.201635047
0.166666666667,235.753932746,175.359915881
0.2,236.296587109,174.489084149
0.233333333333,235.249159984,175.570509781
0.266666666667,235.688049354,175.367309041
0.3,234.314792464,176.570750568
0.333333333333,235.597054941,175.451266293
0.366666666667,233.974650081,176.485501158
0.4,235.554493663,175.296185444
0.433333333333,235.163513514,176.394656020
0.466666666667,236.413622841,175.130505743
0.5,234.666236109,176.223602739
0.533333333333,236.027865437,175.355712312
0.566666666667,235.613453359,175.272721642
0.6,236.446785152,174.745567156
0.633333333333,236.454498524,175.127552811
0.666666666667,236.368918807,175.122800859
0.7,235.947803841,175.299539931
0.733333333333,230.369409439,176.518923482
0.766666666667,236.104454780,175.185074935
0.8,234.076468384,174.184073596
0.833333333333,236.271577365,174.002776096
0.866666666667,236.625376639,174.522390541
0.9,234.894413674,174.928516605
0.933333333333,234.389422976,173.630285894
0.966666666667,235.907965599,173.842671064
1.0,234.888442021,173.176665052
1.03333333333,239.461896167,171.407070814
1.06666666667,236.007090987,171.384237505
1.1,230.740975735,171.910078882
1.13333333333,235.531227950,171.434090958
1.16666666667,233.138202414,172.439002143
1.2,232.862651316,172.680796580
1.23333333333,230.531376583,172.854304074
1.26666666667,233.750683869,170.566825339
1.3,230.863619791,171.660175435
1.33333333333,233.889362160,170.735979348
1.36666666667,237.560070482,170.227775748
1.4,233.639321349,170.934027180
1.43333333333,236.272361766,170.054299425
1.46666666667,232.685855192,171.164082353
1.5,232.168578692,172.067615202
1.53333333333,232.824762943,169.351346049
1.56666666667,235.027920288,172.027220691
1.6,238.732910071,168.762197774
1.63333333333,238.843326432,170.637196098
1.66666666667,237.465910309,170.360649409
1.7,235.223523070,170.123803364
1.73333333333,234.806365202,171.865510130
1.76666666667,230.801031039,171.580259908
1.8,237.999892902,170.440581759
1.83333333333,238.820633764,170.329960122
1.86666666667,235.221910593,171.162070737
